name,category_code,short_description,status,founded_year,funding_rounds,funding_total_usd,country_code,cluster,x,y,traction_score
Masqott,web,Masqott offers smart accessories such as heart rate monitors and altimeters for sports and outdoor activities.,operating,,0,0.0,FRA,0,0.13407129,-0.20177749,20.0
SalonBookr,fashion,"SalonBookr offers a mobile app to find and book salons and spas, and to be informed about deals and trends.",closed,2011.0,1,20000.0,CAN,5,-0.15834165,-0.002662798,36.4
Isolation Network,enterprise,"Isolation Network is a digital media infrastructure company specializing in distribution of media, marketing and promotion services.",operating,2009.0,2,11600000.0,USA,3,0.031050771,0.017599698,58.2
HTML5 Banner,software,HTML5 Banner is an online application that enables users to create interactive HTML and JavaScript banners.,operating,2012.0,0,0.0,ROM,2,-0.15363246,-0.09907098,27.6
Adspert | Bidmanagement GmbH,advertising,Adspert is a web-based bid management tool enabling organizations to optimize Google AdWords campaigns and create online advertising.,operating,2010.0,3,1300000.0,DEU,5,-0.13378182,0.10570214,57.1
One Step Solutions,mobile,"One Step Solutions offers web design and development, cross platform mobile application development, and social media marketing.",closed,2011.0,1,30000.0,AUS,4,-0.21529096,-0.050902873,37.2
The News Funnel,real_estate,"The News Funnel, a news aggregator, lets real estate professionals customize news feeds based on geography, industry segment and interests.",operating,2011.0,1,1000000.0,USA,2,-0.11912946,0.14623725,53.4
NuoDB,enterprise,NuoDB provides a NewSQL solution for maintaining business continuity and gaining operational intelligence in real-time.,operating,2010.0,2,20000000.0,USA,1,-0.048805498,0.10341122,59.9
Twenga,ecommerce,Twenga is an online open shopping search engine offering a large selection of products from brands and retailers.,operating,2006.0,1,3837860.0,FRA,5,-0.12572223,0.1715195,51.8
Comic Reply,web,Comic Reply is an online contest platform that enablestheir fans to create 'fan art.',operating,2012.0,1,86250.0,CAN,2,-0.17178726,-0.1226016,49.8
CoursePeer,education,"CoursePeer provides cloud-based learning tools for varied environments, facilitating certification, training and performance assessments.",operating,2012.0,1,60000.0,CAN,1,-0.04360833,-0.022922833,49.2
Green Apple Media,web,"Green Apple Media helps people build online businesses by assisting them in the design, development and promotion processes.",operating,2007.0,3,132000000.0,IRL,4,-0.15677428,0.0014691637,62.9
lingohub,software,Lingohub offers software development and translation solutions for localization processes.,operating,2012.0,2,180000.0,AUT,1,-0.006510623,-0.044048924,53.1
FlightStats,travel,FlightStats provides global flight tracking and travel planning services.,operating,2001.0,1,1500000.0,USA,1,-0.095129244,0.0010412098,46.1
Admazely,advertising,Admazely was an advertising technology company that offered easy-to-setup retargeting for web shops.,closed,2011.0,1,600000.0,DNK,5,-0.09744295,0.15715575,42.5
Carmenta Bioscience,biotech,Carmenta Bioscience is atechnology company focused onimproving maternal and fetal health.,operating,2012.0,1,2000000.0,USA,0,0.30738994,-0.04888634,55.4
Envivio,software,Envivio provides software-based solutions for multi-screen video processing and delivery.,operating,2000.0,5,59000000.0,USA,1,0.07059273,-0.10154672,59.9
Zebit,finance,Zebit is a short-term lender offering loans with flexible repayment options.,operating,2011.0,2,55000000.0,GBR,5,-0.003954947,0.12897697,62.5
Creative Artists Agency,games_video,Creative Artists Agency (CAA) is an entertainment and sports agencythat providesits customers with innovative ideas and solutions.,operating,1975.0,1,0.0,USA,3,0.002078019,0.07655666,0.0
oncgnostics GmbH,biotech,"oncgnostics develops IVD tests for screening, therapeutic decision making, and follow-up care in cancer diagnostics.",operating,2012.0,1,0.0,DEU,0,0.33181018,-0.16857004,29.6
ChessCube.com,games_video,ChessCube is an online chess platform offering free live chess games in a social environment.,operating,2006.0,1,1250000.0,ZAF,2,-0.16372663,-0.038780037,49.8
Degreed,education,Degreed is a free service that scores and validates a user's lifelong education from accredited and non-accredited sources.,operating,2012.0,1,900000.0,,2,0.035426416,0.004147303,54.0
REACH Health,medical,Reach Health provides telemedicine solutions for interactive physician-to-patient access.,operating,2006.0,3,11400000.0,USA,0,0.19547415,-0.2821423,57.7
Alcresta,biotech,Alcresta develops enzyme-based nutritional products for infants and adults with acute and chronic diseases.,operating,2011.0,2,20000000.0,USA,0,0.28034028,-0.05338236,60.7
Friendsignia,web,Friendsignia is a relationship management tool that filters data from social networks to display the most relevant connections.,closed,2012.0,1,15000.0,USA,2,-0.21459222,-0.09061089,36.7
FireEye,security,FireEye is a malware protection system that blocks attacks across web and email threat vectors and latent malware resident on file shares.,ipo,2004.0,6,87342500.0,USA,1,-0.10061117,-0.17199129,65.8
Concept.io,mobile,"Concept.io develops the application Swell, which provides personalized audio, news and information based on users' interests.",operating,2012.0,3,12700000.0,USA,4,-0.24231476,-0.17512609,62.7
Coursera,education,Coursera is an education company partnering with universities and organizations worldwide to offer free massive open online courses (MOOCs).,operating,2012.0,4,85000000.0,USA,5,0.01351472,0.07780154,68.1
Nalace Corporation,ecommerce,"Nalace Corporation was an online shopping store for party supplies, costumes and accessories.",closed,2012.0,1,19000.0,USA,5,-0.015239887,0.31149262,37.1
TutorVista.com,education,"TutorVista.com is engaged in the education services industry, providing online tutoring services for students.",operating,2005.0,4,80750000.0,IND,2,-0.12429366,0.06016806,62.4
StorPool,software,StorPool is software for distributed data storage that makes a shared storage pool from standard drives placed in standard servers.,operating,2011.0,1,261620.0,,1,-0.017711781,0.05766267,51.0
Farmol,other,"Farmol manufactures aerosols and liquid products for the cosmetics, hygiene and personal care industries.",closed,,1,14841000.0,ITA,3,0.29916885,0.15895319,41.4
Playsino,games_video,Playsino is free-to-play social and casino gaming company.,operating,,1,1500000.0,USA,5,-0.14907911,0.04339713,47.3
ClickSquared,software,"ClickSquared offers SaaS cross-channel campaign management and cloud marketing software, and customer analytics to B2C marketers.",operating,1999.0,3,56710000.0,USA,1,-0.20314789,0.15018049,55.0
AutoRef.com,web,AutoRef enables consumers to negotiate online for new and used vehicles.,operating,2010.0,2,875000.0,USA,5,-0.058304034,0.16847444,54.4
PixelPin,security,"PixelPin provides secure authentication services for mobile and web, enabling a picture password alternative for user accounts.",operating,2011.0,2,541182.0,GBR,4,-0.12272187,-0.2474676,54.3
Pheed,social,"Pheed, a social media platform, enables mobile users to create and share texts, photos, videos, audios, voice notes and live broadcasts.",operating,2012.0,2,4500000.0,USA,4,-0.26031026,-0.23193318,58.9
Apportable,mobile,"Apportable allows iOS applications to run on Android devices automatically, without requiring extensive changes to the original code.",operating,2011.0,1,2400000.0,USA,4,-0.08666069,-0.32486776,55.0
AppScale Systems,software,"AppScale, the open source implementation of Google App Engine, makes apps portable across cloud infrastructures.",operating,2012.0,1,0.0,USA,4,-0.120876215,-0.103567146,29.6
Instamojo,ecommerce,"Instamojo is an e-commerce platform that provides hosting, payments and delivery servicesfor businesses.",operating,2011.0,3,0.0,IND,5,-0.07783567,0.09445483,32.8
Apptentive,mobile,"Apptentive creates app feedback tools enabling developers to engage with customers for positive ratings, feedback and customer research.",operating,2011.0,3,1215000.0,USA,4,-0.19394913,-0.16070001,57.7
JMES Investments,other,JMES Investments is an angel and seed investment company in Berlin.,operating,2010.0,0,0.0,DEU,3,0.051248312,0.22274593,26.0
Vibes,mobile,"Wallet Manager enables marketers to create, distribute, optimize and measure their mobile wallet programs through an integrated platform.",operating,1998.0,1,15000000.0,USA,4,-0.09811505,0.0035954257,47.8
Radius Inc.,analytics,"Radius, a system of record for small businesses, provides sales teams with business information to help sell smarter.",operating,2008.0,4,31550000.0,USA,5,-0.110895835,0.1448383,63.1
Wedding Party,mobile,Wedding Party is an app that collects wedding photos from guests and provides updates on the wedding details.,operating,2012.0,1,1000000.0,USA,4,-0.15308633,-0.15373561,54.2
Wefunder,finance,Wefunder is a crowd investing platform that offers capital raising services.,operating,,1,530000.0,,5,-0.069880955,0.19120488,45.5
Aconex,software,"Aconex provides online collaboration solutions for construction, infrastructure, energy and resources projects.",operating,2000.0,1,85000000.0,USA,1,-0.0049647167,0.005004289,52.5
FastBooking,web,Agendia provides molecular diagnostics and personalized treatment plans for cancer patients.,operating,2000.0,1,49812000.0,FRA,0,0.29735157,-0.16773525,51.6
Radio Mobile Access,mobile,Radio Mobile Access develops solutions for the mobile broadband industry.,operating,,1,9500000.0,USA,4,-0.08975255,-0.15941681,50.6
PhotoFix UK,photo_video,PhotoFix UK was a website that paid for uploaded images and used it for business purposes.,closed,2011.0,1,16090.0,GBR,5,-0.032985844,0.092639424,36.0
OdinOtvet,web,OdinOtvet is a crowdsourcing concept that provides services for user-generated content on a broad list of topics.,closed,2011.0,1,500000.0,,2,-0.19273809,-0.12961812,42.2
Conviva,software,"Conviva specializes in preemptive video stream optimization for high quality, cost-effective video distribution over the internet.",operating,2006.0,4,59000000.0,USA,1,-0.002867572,-0.05862874,62.7
Newvem,enterprise,Newvem is a free SaaS solution that improves the effectiveness of cloud usage through data analytics.,acquired,,1,4000000.0,ISR,1,-0.109165184,0.16496077,47.1
SeeSaw Networks,advertising,SeeSaw Networks provided media planning and buying technology for location-based digital video advertising.,closed,2005.0,5,21138876.0,USA,2,-0.23376173,0.039622437,52.0
Ology Media,social,Ology Media is a social discovery and networking site for users to share content and conversations around their interests and passions.,operating,2011.0,2,3175000.0,USA,2,-0.056277625,-0.18962523,57.5
Zoondy,web,"Zoondy is a work 3.0 solution for people to sell or auction their skills, expertise and talents.",operating,2012.0,1,75000.0,USA,5,-0.10105439,0.12261528,49.6
Cognovant,health,"Cognovant, a consumer informatics company, offers mobile PHR technology forconsumers to access, share and monitor health information.",closed,,2,150000.0,USA,0,0.165521,-0.1670388,35.2
Twitpay,ecommerce,Twitpay offers a social payments method that initiates a financial transaction by posting a message on social networks.,closed,2010.0,2,500000.0,USA,2,-0.17932487,-0.048360307,43.4
Zando,ecommerce,Zando is an e-commerce retailer offering footwear and fashion brands.,operating,2011.0,1,25700000.0,ZAF,5,-0.010951497,0.1599084,59.2
Oomnitza,enterprise,Oomnitza provides SaaS-based IT asset management solutions.,operating,2012.0,1,250000.0,,1,-0.031396233,0.25573745,51.7
Heliae,biotech,Heliae is a platform technology company producing high-value products from algae by using sunlight and low-cost carbon feedstocks.,operating,2008.0,3,123400000.0,USA,3,0.20810735,0.116599694,63.6
Keelvar,software,Keelvar provides procurement optimization software that helps the public sector in securing goods and services.,operating,2013.0,1,922350.0,IRL,1,0.060889468,0.28321597,54.9
Uversity,social,Uversity is a student engagement platform that helps colleges and universities improve student enrollment and retention.,operating,2007.0,4,10230000.0,USA,2,-0.0037537143,0.020207204,60.3
P4RC,games_video,P4RC is a mobile engagement platform that allows players to win points which can be redeemed for real rewards.,operating,2011.0,1,0.0,USA,2,-0.08948111,-0.09052634,28.8
Soshowise,web,Soshowise was a marketplace to get face-to-face advice on various subjects.,closed,2011.0,1,50000.0,USA,5,-0.026519544,0.16689774,38.1
SumAll,analytics,SumAll is online software that guides decision making by connecting all online marketing and e-commerce data into one interactive chart.,operating,2011.0,4,13500000.0,USA,1,-0.039316617,0.19371724,64.0
Newlio,other,Newlio is a purchase-based consumer intelligence platform providing actionable insights from customers and prospects.,operating,2012.0,0,0.0,USA,5,-0.051629864,0.18024305,27.6
AngelPolitics,nonprofit,"AngelPolitics uses big data analytics to introduce candidates to donors, optimize monetary value of contributions, and manage fund-raising.",operating,2011.0,1,25000.0,,1,-0.057011776,0.20114881,46.8
TidePool,web,"Tidepool's game-based technology enables users to decode personality traits, emotions and short-term cognitive processes.",operating,,1,1500000.0,USA,2,-0.18734998,-0.14080547,47.3
Blink Booking,travel,Blink Booking is an app that helps travellers in Europe book hotels at the last minute by providing a daily selection of four hotels.,acquired,2012.0,1,4400000.0,GBR,5,-0.1440207,-0.010859234,54.8
Piggybackr,nonprofit,Piggybackr is an online fundraising website for teams that also gives young people advice on how to raise money for causes.,operating,2011.0,1,325000.0,USA,5,-0.12349682,0.08849366,51.4
WegoWise,web,WegoWise is a web-based utility analytics platform that integrates big data with energy efficiency for the building performance industry.,operating,2010.0,2,4900000.0,USA,1,-0.08566225,0.11846914,57.4
Pictorious,photo_video,Pictorious is a photo-based gaming platform that enables users to share photos and compete with others.,operating,2011.0,1,25000.0,USA,2,-0.17042735,-0.15403523,46.8
Pixlee,other,"Pixlee enables companies to collect, manage and display user-generated photos across multiple social media platforms.",operating,2012.0,1,1500000.0,USA,2,-0.16815388,-0.17809954,54.9
Cyvera,security,Cyvera develops cyber-defense products that prevent remote attacks on Microsoft-based servers and end-points.,operating,2011.0,3,13100000.0,ISR,1,0.10583106,-0.018059308,62.0
SKINNYprice,software,SKINNYprice employs dynamic pricing methods to give e-commerce companies a pricing advantage over similar companies.,operating,2011.0,1,100000.0,USA,5,-0.06194731,0.34660867,49.3
Mozaik Media,education,Mozaik Media houses a platform that allows users to launch their own online learning destination.,operating,2011.0,1,500000.0,IDN,2,-0.31703192,-0.1768377,52.2
Deepclass,ecommerce,"Deepclass is a luxury e-commerce platform that uses social curation for antique products such as furniture, fine art and jewelry.",operating,2013.0,1,4350000.0,FRA,5,0.0049305484,0.11249091,57.6
Poptip,software,Poptip analyzes and synthesizes social conversations in real-time to enable brands to understand people's opinions.,operating,2012.0,3,3001984.0,USA,2,-0.21179101,-0.049868952,60.2
iMedix Inc.,search,"iMedix, a health search engine and network, utilizes advanced proprietary algorithms to provide answers for user questions.",closed,2007.0,1,2000000.0,ISR,0,0.14373903,-0.215206,41.4
CallApp,mobile,"CallApp enhances phone calls by providing information about the person you are talking to, as well as interactive tools.",operating,2011.0,1,1000000.0,ISR,4,-0.112683885,-0.2735998,53.4
Quanterix,biotech,"Quanterix is a platform for single molecule analysis that supports clinical diagnostics, drug development, and life science researches.",operating,2007.0,4,41499999.0,USA,0,0.2887736,-0.17764173,62.8
Mobile Labs,mobile,"Mobile Labs provides mobile application testing services that check an application's security, agility and affordability.",operating,2011.0,1,2962730.0,USA,4,0.032911718,-0.28186917,55.3
Figleaves.com,web,"figleaves.com is an online destination for lingerie, mens underwear, loungewear, swimwear, nightwear and shapewear.",operating,,1,0.0,,5,-0.09308075,0.16330986,22.0
SimpleHoney,mobile,"SimpleHoney offers I Want Wish Lists, a mobile app that enables users to create their wish list and receive alerts on when and where to buy.",acquired,2012.0,1,0.0,USA,4,-0.22246075,-0.14469585,27.6
Swiftype,search,Swiftype is a Y Combinator-backed startup building search software for websites and applications.,operating,2012.0,3,9200000.0,USA,1,-0.08574592,0.043056585,62.2
Flint,mobile,Flint is a mobile payments company offering an app that enables users to process payments via their mobile phones.,operating,2011.0,3,11000000.0,USA,4,-0.06408607,-0.076748654,61.7
Glider,software,"Glider, a sales contract management platform, provides finance and executive leadership with insights into a companys sales activities.",operating,2012.0,3,1350000.0,USA,5,-0.06678618,0.24201275,58.7
Gilt Groupe,fashion,Gilt Groupe is an online shopping website that provides instant insider access to top designer labels.,operating,2007.0,6,236000000.0,USA,5,-0.059478693,0.19110706,69.9
Qoiza,software,Qoiza is a mobile application that allows users to share their favorite products and brands with their social network.,operating,2011.0,1,80000.0,USA,4,-0.23031068,-0.23425347,48.9
Ascendify,software,"Ascendify offers a completely mobile, social, talent acquisition platform with modern recruiting point solutions.",operating,2012.0,1,1000000.0,USA,2,-0.16039664,-0.035925683,54.2
AfterShip,software,AfterShip is a shipment tracking app for online retailers to track shipments and send out delivery notifications.,operating,2011.0,1,0.0,HKG,5,-0.07811525,0.10730326,28.8
MEDSEEK,software,MEDSEEK builds software that helps hospitals and health systems virtually influence patients before and after the clinical service.,operating,1996.0,1,5500003.0,USA,0,0.2813302,-0.20667627,44.4
Zazzle,ecommerce,"Zazzle.com enables users to receive a commission on products that they design, create and sell.",operating,1999.0,2,46000000.0,USA,5,-0.108899616,0.21076667,52.6
MyStore.com,ecommerce,MyStore.com is a social selling platform and community marketplace for individuals and small businesses.,operating,2006.0,3,1120000.0,USA,5,-0.31653005,0.20813254,53.6
Cardify,mobile,Cardify is a platform for increasing merchants' average per customer revenue by offering customer rewards based on shopping demographics.,operating,2012.0,0,0.0,,5,-0.15215859,0.13322417,27.6
Shoplins,mobile,Shoplins is a mobile marketing application that rewards customers and improves business profit through increased customer loyalty.,operating,2012.0,2,350000.0,URY,4,-0.19239205,0.03010843,54.3
LiveJournal,software,LiveJournal is a social networking platform that allows users to operate an online blog or journal.,operating,1999.0,0,0.0,USA,2,-0.15918997,-0.11158845,17.2
Skyscraper,advertising,Skyscraper houses a platform that helps bloggers and independent publishers monetize their ad space.,operating,2012.0,2,500000.0,USA,2,-0.22016144,0.10347699,55.0
Canary Calendar,mobile,Canary Calendar is an application for the iPhone that helps Google Calendar users to schedule meetings efficiently.,operating,2011.0,1,0.0,USA,4,-0.088367514,-0.1379668,28.8
Mortar Data,software,"Mortar Data is an open source framework for big data processing specializing in distributed systems, ETL andmachine learning.",operating,2011.0,3,2250000.0,USA,1,-0.074268155,0.083391875,58.8
BISON,finance,Bison provides relevant news coverage and complete fund raising datasets for the private equity and venture capital market.,operating,2011.0,2,1330790.0,USA,2,-0.04271423,0.20331922,55.9
Newfield Design,manufacturing,Newfield Design develops and manufactures communication systems infrastructure.,closed,2008.0,1,662000.0,USA,3,0.15202937,0.077923924,40.3
Spins.FM,games_video,Spins.FM connects social media with radio stations and enables listeners to interact with radio stations via social media.,operating,2010.0,2,250000.0,USA,2,-0.20797962,-0.19469133,52.1
ChinaCache,network_hosting,ChinaCache is a global provider of content delivery network and cloud computing services.,operating,1998.0,1,32000000.0,CHN,1,-0.07247361,0.009255536,49.2
Adcash,advertising,"Adcash, an ad-serving platform, provides targeted solutions and tools for publishers and advertisers to create online campaigns.",operating,2008.0,0,0.0,EST,5,-0.1409694,0.11038871,24.4
Libboo,web,"Libboo connects buzzers and readers with books they will enjoy and share, to create digital bestsellers and help new authors.",operating,,3,1400000.0,USA,2,-0.20441708,-0.0044013984,51.2
Zonoff,software,"Zonoff offers a software platform that channels retailers, OEMs and integrators who deliver 'connected home' products to the mass market.",operating,2011.0,1,3800000.0,USA,5,-0.09906813,0.08408199,55.8
Inktank,enterprise,Inktank provides an open source distributed storage system that decreases storage costs and increases operational flexibility.,operating,2012.0,2,14400000.0,USA,1,-0.017511033,0.031955373,60.9
LuckyLabs,games_video,LuckyLabs is an entertainment company developing snackable entertainment and games.,operating,2011.0,1,3500000.0,USA,2,-0.027007021,-0.03772114,55.6
Curalate,analytics,Curalate is a marketing and analytics suite for visual social media platforms.,operating,2012.0,2,3750000.0,USA,2,-0.18534678,0.021700377,58.6
Mocana,security,"Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.",operating,2002.0,5,50500000.0,USA,4,0.009967975,-0.18159753,61.2
Xplenty,enterprise,Xplenty is a big data cloud platform enabling thetransformation of structured and semi-structured data into business insights.,operating,2011.0,1,0.0,ISR,1,-0.05657568,0.16697201,28.8
Gather.md,web,Gather.md provides actionable analytics for personal health.,closed,2012.0,1,20000.0,,0,0.22778687,-0.15543693,37.2
Siasto,enterprise,Siasto offers collaboration and project management software that enable teams and clients to monitor their project activities.,operating,2012.0,2,750000.0,USA,1,-0.047701858,-0.054877516,55.7
Zyga Technology,medical,Zyga Technology is a surgical solutions provider developing and commercializing medical devices for treating spine problems.,operating,,2,30000000.0,USA,0,0.2582203,-0.18080002,54.7
Mercury Payment Systems,ecommerce,"Mercury is a payment processing company pioneering the Social POS, which empowers merchants to identify, acquire and retain customers.",operating,,1,2250000.0,USA,5,0.0747446,0.21009678,48.0
Kipo,hardware,Kipo enables you to view your devices in real-time and locate them on-demand with access to tracking history.,operating,2012.0,2,363600.0,GTM,4,-0.19575554,-0.2072959,54.4
The Cools,web,The Cools is an online social marketplace for a curated selection of brands to sell their products directly to consumers.,operating,,0,0.0,USA,5,-0.19730395,0.14571905,20.0
InTouch Technologies,medical,"InTouch Technologies, doing business as InTouch Health, develops remote presence technology to support hospital services.",operating,2002.0,3,24100000.0,USA,0,0.19346078,-0.08257471,55.9
EdgeCast Networks,network_hosting,EdgeCast is a content delivery network (CDN) that helps companies accelerate and deliver static content to theirusers around the world.,acquired,2006.0,5,74000000.0,USA,2,-0.121053584,-0.09631882,63.1
Accelerated Orthopedic Technologies,medical,"Accelerated Orthopedic Technologies developed tools for obtaining, shaping and implanting cartilage grafts.",closed,,1,150000.0,USA,0,0.31182796,-0.022981478,33.2
Exchangery,enterprise,Exchangery helps people start novel commodities exchanges.,closed,,1,75000.0,USA,5,0.03141684,0.3344682,32.0
StudentDonate.com,education,StudentDonate.com is a social platform that allows people from all over the world to make individual micro-donations to college students.,operating,,0,0.0,,2,-0.15696666,0.057084154,20.0
CL3VER,software,Cl3VER is a web platform allowing users to create and display engaging 3D content for web and mobile devices.,operating,2011.0,1,800000.0,ESP,2,-0.076149486,-0.07378876,53.0
VerbalizeIt,web,VerbalizeIt provides translation solutions by connecting people with live human interpreters through mobile and cloud-based technology.,operating,2011.0,2,1618000.0,USA,4,-0.09288319,-0.22280085,56.3
Soceaniq,software,Soceaniq develops software that sends personalized messages toclients based on information about their preferences andonline activities.,operating,2011.0,1,749000.0,USA,2,-0.24898383,-0.0866328,52.9
Juvalia & You,ecommerce,"Juvalia & You is an online shopping spot for artificial, junk, designer and imitation jewelry.",operating,2011.0,0,0.0,DEU,5,-0.03272345,0.14945705,26.8
Food Genius,analytics,Food Genius provides big data by analysing restaurant menus for the food industry.,operating,2010.0,3,2275000.0,USA,5,-0.06376312,0.119906485,58.1
Audioair,hardware,Audioair is a mobile app enabling smartphone and tablet users to selectively listen to muted televisions in private and public locations.,operating,2011.0,1,2450000.0,USA,4,-0.073277555,-0.3141372,55.0
GreenLight,social,GreenLight is a social discovery platform where users can find new people they would like to get along with based on personality.,closed,2011.0,1,40331.0,GBR,2,-0.17424503,-0.09022694,37.7
Locate Special Diet,mobile,Locate Special Diet is an app that enables its users to find food and drink options nearby based on their dietary preferences.,operating,2011.0,1,75000.0,USA,4,-0.049101226,-0.07957137,48.8
Catchoom,enterprise,"Catchoom creates and sells cloud-based image recognition technology for gaming, advertising, publishing and e-commerce industries.",operating,2011.0,2,1520580.0,ESP,4,-0.1517689,-0.067863606,56.1
TallCat,social,"TallCat provides people with technology resources, platforms and internet applications to develop and share their creativity.",operating,2010.0,1,2500000.0,USA,2,-0.16845164,-0.04342557,54.2
Apcera,enterprise,Apcera provides enterprise IT platforms that solves systemic challenges for enterprise customers.,operating,2012.0,2,7200000.0,USA,1,-0.03466011,0.117645435,59.7
QUICK Technologies,ecommerce,Quick Technologies offers an online marketplace and an app that allows individuals to buy and sell.,operating,2011.0,2,1980000.0,USA,4,-0.15839836,0.022330523,56.6
Collaaj,enterprise,"Collaaj is a collaborative platform enabling users to create voice, video and screen clips and share them with others.",operating,2012.0,1,0.0,USA,2,-0.15941536,-0.19817652,29.6
agreement24 avtal24,legal,Agreement24avtal24 provides personalized legal solutions to consumers and businesses across Europe.,operating,2004.0,2,2800000.0,SWE,5,-0.014659055,0.15137485,51.6
TrekkSoft,software,TrekkSoft offers a booking and payment solution for the tours and activities market.,operating,2010.0,1,800000.0,CHE,5,-0.17632669,0.16245884,52.2
TaxiForSure.com,automotive,"TaxiForSure is an aggregator of car rentals and taxis for customers to get an easily accessible, safe, and reliable taxi ride.",operating,2011.0,2,4000000.0,IND,5,-0.035777055,0.096563295,57.9
Exhibia,ecommerce,Exhibia is a social shopping network that employs a 'penny auction'-style shopping environment.,closed,2011.0,1,1000000.0,,5,-0.2582139,0.22616042,43.4
Monitor Backlinks,software,"Monitor Backlinks is an online SEO tool that automatically notifies users when their backlinks are changed, removed or about toexpire.",operating,2012.0,1,65000.0,IRL,2,-0.09224432,-0.03724929,49.3
The Usenet Archive,search,"The Usenet Archive allows users to search Usenet News text archives from the present back to 1980 across 200,000 newsgroups.",operating,2012.0,0,0.0,,2,-0.14925212,-0.053428408,27.6
Project Frog,cleantech,Project Frog develops component buildings that assemble easily onsite for architects and builders to create energy-efficient buildings.,operating,2006.0,4,55200000.0,USA,3,0.018937968,0.039847378,62.5
Soteira,medical,Soteira develops technologies to resolve vertebral compression fractures.,closed,2004.0,4,2691807.0,USA,0,0.3101036,-0.09784253,45.6
Tradegecko,software,Tradegecko is a SaaS-based product supporting SMEs in handling their daily business activities through user-friendly software.,operating,2012.0,2,660000.0,SGP,5,-0.11816769,0.25259975,55.5
Copperfasten,security,Copperfasten provides internet security solutions for enterprises and government organizations.,closed,2000.0,1,627300.0,IRL,1,-0.0013789684,0.096220426,33.8
CoFoundersLab,web,CoFoundersLab offers an online matchmaking service that connects entrepreneurs with compatible co-founders looking to join a startup.,operating,2012.0,0,0.0,USA,2,-0.17004806,0.09520245,27.6
Flocations,travel,Flocations is an online travel discovery tool that helps users discover travel packages.,operating,2012.0,2,611500.0,SGP,5,-0.12919956,0.13962772,55.3
FiveStars Loyalty,advertising,"Fivestars, a consumer identity platform, uses big data, predictive analytics and cloud-based marketing automation to personalize commerce.",operating,,3,16050000.0,USA,1,-0.10897734,0.19436571,55.5
Book'n'Bloom,software,Book'n'Bloom facilitates small businesses by providing guidance and tools such as online booking.,operating,2011.0,5,884396.0,GRC,5,-0.13569477,0.29882815,61.2
Bluelock,network_hosting,"Bluelock provides flexible IT infrastructure services such as cloud computing, VMware, virtual datacenters and related solutions.",operating,2006.0,2,6116923.0,USA,1,0.030378103,0.06629631,54.6
Rant Media Network Inc.,news,Rant Media Network produces sports-related video and written material.,operating,2010.0,3,3343000.0,USA,2,-0.08186921,-0.20297159,58.7
Ordoro,software,"Ordoro is a SaaS-based web app that helps small and mid-sized e-commerce retailers manage their orders, inventory and shipping.",operating,2010.0,2,1656165.0,USA,5,-0.11680996,0.15299392,55.5
InstaEDU,education,InstaEDU is an online tutoring platform for students to connect with tutors and receive private tutoring.,operating,2011.0,2,5100000.0,USA,2,-0.12564829,-0.07308724,58.3
True&Co,fashion,True&Co is an online retail site allowing shoppers to find perfect-fitting bras by answering a simple quiz.,operating,2012.0,3,6000000.0,USA,5,-0.06488817,0.20485055,61.4
Note,web,Note is a receipt storage platform for consumers to automatically receive and store their receipts from any in-store or online purchase.,operating,2012.0,1,0.0,USA,5,-0.05464735,0.042139318,29.6
PollVaultr,software,PollVaultr develops software to improve short customer surveys at checkouts.,closed,2012.0,1,60000.0,USA,1,-0.07513609,0.06761229,39.2
gestigon,software,"gestigon develops software that recognizes hand and body gestures, and enables applications with gesture control.",operating,2011.0,1,880000.0,DEU,4,-0.0012695119,-0.22552902,53.2
Datahero,analytics,DataHero develops data analysis tools and focuses on data empowermentand visualization thatdoes not require the knowledge of coding.,operating,2011.0,2,4150000.0,USA,1,0.005500816,0.024100022,57.9
InboxQ,search,InboxQwas a browser extension that delivered a persistent stream of questions from Twitter directly to the user.,closed,2009.0,2,0.0,USA,2,-0.2117778,-0.20057036,19.2
PostRocket,analytics,PostRocket helps a Facebook page get into its followers' newsfeeds.,closed,2012.0,2,610000.0,USA,2,-0.2276321,-0.055006456,45.3
Edition01,ecommerce,"Edition01 is a product development and distribution platform allowing brands, designers and retailers to work together.",operating,2011.0,1,565000.0,USA,5,0.015476264,0.141947,52.4
Yabbly,mobile,Yabbly is a Q&A platform that helps users make product and purchase decisions.,operating,2012.0,3,1495000.0,USA,2,-0.1250774,0.026209839,58.9
Easy Vino,hospitality,Easy Vino is a mobile sommelier recommending the best wine available at restaurants based on consumers' taste profiles.,operating,2012.0,1,40000.0,CHL,5,-0.04935404,-0.016067017,48.5
Civitas Learning,education,Civitas Learning offers a cloud-based predictive analytics platform that delivers personalized recommendations to students.,operating,2011.0,3,15899999.0,USA,2,-0.16073617,0.013416072,62.3
WishClouds,ecommerce,"WishClouds is a social shopping platform that uses purchase intent data to create significant value for retailers, brands, and advertisers.",operating,2011.0,1,3200000.0,USA,5,-0.22455716,0.013143558,55.5
ASOCS,mobile,ASOCS develops and markets MultiComm processors that give handset users seamless connectivity over diverse wireless networks.,operating,2003.0,5,18522536.0,ISR,4,6.0379505e-05,-0.03431833,60.2
